
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	11 	3 	0,0100	936,9510	25.7
10000 	12 	0 	1,0000	931,7565	2.5
10000 	12 	0 	0,5000	927,3260	4.0
10000 	12 	0 	0,1000	925,5030	18.4
10000 	12 	0 	0,0500	925,1315	22.7
10000 	12 	0 	0,0100	925,1590	22.6
10000 	12 	1 	1,0000	932,8665	1.7
10000 	12 	1 	0,5000	926,7420	3.4
10000 	12 	1 	0,1000	926,2265	17.7
10000 	12 	1 	0,0500	927,0950	22.8
10000 	12 	1 	0,0100	926,8265	24.4
10000 	12 	2 	1,0000	931,7080	1.6
10000 	12 	2 	0,5000	927,2095	3.3
10000 	12 	2 	0,1000	929,1970	17.7
10000 	12 	2 	0,0500	930,9430	23.8
10000 	12 	2 	0,0100	926,0010	24.3
10000 	12 	3 	1,0000	933,8810	1.6
10000 	12 	3 	0,5000	929,2200	3.2
10000 	12 	3 	0,1000	927,7615	17.4
10000 	12 	3 	0,0500	935,1355	23.7
10000 	12 	3 	0,0100	936,7635	26.2
10000 	13 	0 	1,0000	929,9545	1.9
10000 	13 	0 	0,5000	927,4825	3.5
10000 	13 	0 	0,1000	925,5565	17.7
10000 	13 	0 	0,0500	925,2515	22.5
10000 	13 	0 	0,0100	924,9100	22.5
10000 	13 	1 	1,0000	929,4390	1.7
10000 	13 	1 	0,5000	927,2885	3.2
10000 	13 	1 	0,1000	927,1125	17.2
10000 	13 	1 	0,0500	926,7085	23.6
10000 	13 	1 	0,0100	927,6405	22.3
10000 	13 	2 	1,0000	932,7915	1.6
10000 	13 	2 	0,5000	927,7260	3.2
10000 	13 	2 	0,1000	927,0370	17.3
10000 	13 	2 	0,0500	930,1905	23.6
10000 	13 	2 	0,0100	934,4525	23.5
10000 	13 	3 	1,0000	934,2515	1.7
10000 	13 	3 	0,5000	927,7165	3.3
10000 	13 	3 	0,1000	931,0305	18.0
10000 	13 	3 	0,0500	928,7330	25.8
10000 	13 	3 	0,0100	942,1070	26.5
10000 	14 	0 	1,0000	929,8580	1.9
10000 	14 	0 	0,5000	926,0245	3.5
10000 	14 	0 	0,1000	925,3425	17.5
10000 	14 	0 	0,0500	923,2355	23.0
10000 	14 	0 	0,0100	924,9205	22.8
10000 	14 	1 	1,0000	930,5550	1.6
10000 	14 	1 	0,5000	926,9495	3.2
10000 	14 	1 	0,1000	927,7860	16.8
10000 	14 	1 	0,0500	927,1185	23.3
10000 	14 	1 	0,0100	927,6340	22.5
10000 	14 	2 	1,0000	935,3265	1.6
10000 	14 	2 	0,5000	930,2890	3.4
10000 	14 	2 	0,1000	926,5600	17.0
10000 	14 	2 	0,0500	927,6525	23.8
10000 	14 	2 	0,0100	934,6375	24.3
10000 	14 	3 	1,0000	933,5740	1.7
10000 	14 	3 	0,5000	928,4980	3.5
10000 	14 	3 	0,1000	929,4925	16.9
10000 	14 	3 	0,0500	926,7165	23.5
10000 	14 	3 	0,0100	937,6835	24.7
10000 	15 	0 	1,0000	931,9795	2.1
10000 	15 	0 	0,5000	927,1525	3.5
10000 	15 	0 	0,1000	924,8615	18.3
10000 	15 	0 	0,0500	924,3620	23.1
10000 	15 	0 	0,0100	926,1430	21.4
10000 	15 	1 	1,0000	931,0425	1.6
10000 	15 	1 	0,5000	927,0370	3.5
10000 	15 	1 	0,1000	925,0125	17.9
10000 	15 	1 	0,0500	925,5730	22.7
10000 	15 	1 	0,0100	926,3005	24.1
10000 	15 	2 	1,0000	933,2090	1.6
10000 	15 	2 	0,5000	928,5145	3.4
